Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G,6,0,1426.0,945.0,616.0,5.500,112.0,0.1818,9.87,1.197,804.0,1.03
M4G,6,1,1412.0,925.0,580.0,5.179,112.0,0.1931,9.56,1.211,908.8,2.00
M4G,6,2,1425.0,976.0,613.0,5.425,113.0,0.1843,9.02,1.169,809.9,1.11
M4G,6,3,1410.0,940.0,599.0,5.546,108.0,0.1803,8.94,1.128,901.3,2.16
M4G,6,4,1417.0,940.0,583.0,5.159,113.0,0.1938,9.25,1.208,783.2,1.66
M4G,6,5,1418.0,929.0,587.0,5.017,117.0,0.1993,9.93,1.255,763.4,1.60
M4G,6,6,1429.0,964.0,603.0,5.532,109.0,0.1808,9.09,1.163,844.8,0.83
M4G,6,7,1414.0,937.0,603.0,5.384,112.0,0.1857,9.34,1.173,822.5,1.82
M4G,6,8,1420.0,954.0,603.0,5.289,114.0,0.1891,9.49,1.212,797.6,1.43
M4G,6,9,1428.0,951.0,604.0,5.345,113.0,0.1871,9.24,1.179,872.5,0.90
HGS-M5,6,0,1425.0,928.0,601.0,5.272,114.0,0.1897,9.56,1.180,903.7,1.15
HGS-M5,6,1,1422.0,922.0,567.0,5.299,107.0,0.1887,9.48,1.227,917.5,1.32
HGS-M5,6,2,1416.0,959.0,598.0,5.387,111.0,0.1856,8.91,1.155,965.9,1.68
HGS-M5,6,3,1429.0,928.0,574.0,5.266,109.0,0.1899,9.25,1.205,900.4,0.85
HGS-M5,6,4,1417.0,924.0,582.0,5.105,114.0,0.1959,9.52,1.221,870.1,1.65
HGS-M5,6,5,1426.0,928.0,585.0,5.043,116.0,0.1983,9.63,1.220,907.1,1.02
HGS-M5,6,6,1416.0,922.0,577.0,5.343,108.0,0.1872,9.21,1.182,1053.0,1.69
HGS-M5,6,7,1426.0,935.0,596.0,5.094,117.0,0.1963,9.62,1.212,842.4,1.10
HGS-M5,6,8,1422.0,944.0,582.0,5.243,111.0,0.1907,9.28,1.216,842.7,1.31
HGS-M5,6,9,1423.0,922.0,578.0,5.255,110.0,0.1903,9.56,1.214,965.9,1.22
M4G,10,0,1424.0,944.0,620.0,5.082,122.0,0.1968,10.59,1.299,795.7,1.19
M4G,10,1,1430.0,935.0,584.0,4.908,119.0,0.2038,10.34,1.335,833.8,0.72
M4G,10,2,1430.0,987.0,617.0,5.099,121.0,0.1961,10.14,1.310,762.4,0.73
M4G,10,3,1428.0,940.0,607.0,5.188,117.0,0.1928,10.42,1.313,766.5,0.89
M4G,10,4,1431.0,950.0,597.0,5.017,119.0,0.1993,10.68,1.367,772.0,0.70
M4G,10,5,1430.0,953.0,600.0,4.878,123.0,0.2050,10.73,1.354,782.0,0.81
M4G,10,6,1428.0,966.0,606.0,5.179,117.0,0.1931,10.00,1.292,772.0,0.94
M4G,10,7,1431.0,958.0,611.0,5.360,114.0,0.1866,9.96,1.266,879.7,0.70
M4G,10,8,1429.0,958.0,601.0,5.226,115.0,0.1913,10.17,1.318,741.8,0.88
M4G,10,9,1426.0,931.0,592.0,5.239,113.0,0.1909,10.46,1.317,771.8,1.00
HGS-M5,10,0,1430.0,923.0,591.0,4.884,121.0,0.2047,10.64,1.339,867.1,0.77
HGS-M5,10,1,1430.0,916.0,565.0,4.956,114.0,0.2018,10.53,1.371,896.4,0.73
HGS-M5,10,2,1430.0,969.0,614.0,5.248,117.0,0.1906,9.97,1.268,947.0,0.72
HGS-M5,10,3,1431.0,932.0,583.0,5.114,114.0,0.1955,10.31,1.326,954.3,0.71
HGS-M5,10,4,1429.0,928.0,579.0,5.124,113.0,0.1952,10.07,1.321,990.2,0.78
HGS-M5,10,5,1430.0,931.0,589.0,4.908,120.0,0.2037,10.48,1.341,1066.4,0.76
HGS-M5,10,6,1431.0,935.0,581.0,5.188,112.0,0.1928,9.93,1.295,1022.5,0.71
HGS-M5,10,7,1431.0,940.0,606.0,5.224,116.0,0.1914,10.07,1.284,966.6,0.72
HGS-M5,10,8,1430.0,943.0,587.0,4.975,118.0,0.2010,10.01,1.316,930.9,0.74
HGS-M5,10,9,1431.0,925.0,586.0,5.186,113.0,0.1928,9.84,1.259,910.3,0.73
